AtcoCode,CommonName,LocalityName,Latitude,Longitude,Easting,Northing,Status
700000009968,Gortmeron Link Road,Dungannon,54.49893978,-6.74696273,281235,361892,active
700000009969,Coolhill Cemetery,Dungannon,54.49655161,-6.74256588,281522,361630,active
700000009970,Moy Park,Dungannon,54.49602672,-6.73982867,281703,361576,active
700000009971,Killyman Road Lower,Dungannon,54.49413053,-6.73289566,282156,361373,active
700000009972,Culnagrew Corner,Dungannon,54.49278535,-6.72628568,282587,361231,active
700000009973,Morgans,Dungannon,54.49468773,-6.71588597,283257,361455,active
700000009974,Laghey Corner bus stop,Dungannon,54.49212354,-6.70291026,284103,361185,active
700000009975,Fish Ponds,Dungannon,54.49354758,-6.68917585,284990,361360,active
700000009976,Cohannon Bridge,Dungannon,54.49342508,-6.6812162,285506,361356,active
700000009977,Bovain Road,Dungannon,54.49384994,-6.66183355,286761,361427,active
700000009978,Tamnamore Road,Dungannon,54.49412454,-6.6547404,287217,361465,active
700000009979,Tamnamore Primary School,Dungannon,54.49206179,-6.64394445,287921,361249,active
700000009980,Verners Inn,Dungannon,54.48957935,-6.63488942,288513,360984,active
700000009981,Mullenakill Park,Dungannon,54.49227395,-6.63259337,288659,361288,active
700000009982,Derrylee,Dungannon,54.49779676,-6.62131121,289378,361917,active
700000009983,Derrylee Orange Hall,Dungannon,54.50025697,-6.61489964,289788,362199,active
700000009984,Derrylee Road,Dungannon,54.50032596,-6.60917054,290159,362214,active
700000009985,Derrylee Methodist Church,Dungannon,54.49961731,-6.59837414,290860,362149,active
700000009986,Derryadd Peatworks,Dungannon,54.50315577,-6.58669062,291609,362558,active
700000009987,Tennysons,Dungannon,54.50572243,-6.58031871,292016,362852,active
700000009988,Marion  Avenue,Dungannon,54.51001972,-6.57445699,292386,363338,active
700000009989,Marion  Avenue,Dungannon,54.50987658,-6.57450829,292383,363322,active
700000009990,Tennysons,Dungannon,54.5057648,-6.58010111,292030,362857,active
700000009991,Derryadd Peatworks,Dungannon,54.50318018,-6.58647365,291623,362561,active
700000009992,Derrylee Methodist Church,Dungannon,54.49959756,-6.59822046,290870,362147,active
700000009993,Derrylee Road,Dungannon,54.50009959,-6.60823664,290220,362190,active
700000009994,Derrylee Orange Hall,Dungannon,54.50020256,-6.61485517,289791,362193,active
700000009995,Derrylee,Dungannon,54.49784712,-6.62100081,289398,361923,active
700000009996,Mullenakill Park,Dungannon,54.4926207,-6.63227314,288679,361327,active
700000009997,Verners Inn,Dungannon,54.48953338,-6.63498248,288507,360979,active
700000009998,Tamnamore Primary School,Dungannon,54.49218199,-6.64472607,287870,361261,active
700000009999,Tamnamore Road,Dungannon,54.49399292,-6.65439868,287240,361451,active
700000010000,Bovain Road,Dungannon,54.49378219,-6.66220616,286737,361419,active
700000010001,Cohannon Bridge,Dungannon,54.49337815,-6.68103251,285518,361351,active
700000010002,Fish Ponds,Dungannon,54.49346659,-6.689163,284991,361351,active
700000010003,Laghey Primary School,Dungannon,54.49214402,-6.70230774,284142,361188,active
700000010004,Fishing Shop,Dungannon,54.49430449,-6.71617578,283239,361412,active
700000010005,Culnagrew Corner,Dungannon,54.4922052,-6.722944,282802,361169,active
700000010006,Culnagrew Corner,Dungannon,54.49281847,-6.7268711,282549,361234,active
700000010007,Killyman Road Lower,Dungannon,54.4940716,-6.7330131,282146,361365,active
700000010008,Coolhill Cemetery,Dungannon,54.496895,-6.74328,281475,361667,active
700000010009,Gortmeron Link Road,Dungannon,54.49876835,-6.7468908,281240,361873,active
700000010010,Northland Village,Dungannon,54.50084101,-6.75097964,280971,362099,active
700000010011,Killymerron Park,Dungannon,54.50296369,-6.75557679,280669,362330,active
700000010012,Killymerron Park,Dungannon,54.50185186,-6.75666025,280601,362205,active
700000010013,Killymerron Park,Dungannon,54.50309857,-6.75558813,280668,362345,active
700000010014,Cunninghams Lane,Dungannon,54.50062687,-6.75373376,280793,362072,active
700000010015,Cunninghams Lane,Dungannon,54.49877525,-6.75277138,280859,361867,active
700000010016,Gortnasaor,Dungannon,54.49771762,-6.75213989,280902,361750,active
700000010017,Belvedere Park,Dungannon,54.49601154,-6.75222273,280900,361560,active
700000010018,Gortmerron Link Road,Dungannon,54.49446975,-6.75342721,280825,361387,active
700000010019,Integrated College Dungannon,Dungannon,54.49776993,-6.7482644,281150,361759,active
700000010020,Northland Village,Dungannon,54.50073372,-6.75102922,280968,362087,active
700000010021,Northland Village,Dungannon,54.49955502,-6.74998469,281038,361957,active
700000010022,Mournebeg Drive,Dungannon,54.51071557,-6.76597908,279980,363181,active
700000010023,Drumglass Way,Dungannon,54.51173593,-6.7673688,279888,363293,active
700000010024,Bernagh Gardens,Dungannon,54.51355703,-6.76799335,279844,363495,active
700000010025,Drumcroo Green,Dungannon,54.51368585,-6.76619998,279957,363510,active
700000010026,Altmore Drive,Dungannon,54.51360716,-6.76491165,280041,363503,active
700000010027,Dunlea Vale,Dungannon,54.51304061,-6.76053569,280328,363446,active
700000010028,Lambfield,Dungannon,54.51515303,-6.76020265,280343,363680,active
700000010029,Dunavon No,Dungannon,54.51389388,-6.75876504,280441,363543,active
700000010030,Dunavon No,Dungannon,54.51439951,-6.75901221,280424,363599,active
700000010031,Hillcroft,Dungannon,54.51667162,-6.75369308,280764,363858,active
700000010032,Lurgaboy Lane,Dungannon,54.51818466,-6.75057395,280963,364030,active
700000010033,Cinder Lane,Dungannon,54.5137804,-6.75123337,280929,363539,active
700000010034,Killymeal Road,Dungannon,54.51022991,-6.7562823,280609,363138,active
700000010035,Anne Street,Dungannon,54.50431729,-6.77375157,279489,362460,active
700000010036,Donaghmore Road,Dungannon,54.50811889,-6.77833105,279185,362878,active
700000010037,Lisnahull,Dungannon,54.50720364,-6.7820018,278949,362772,active
700000010038,Lisnahull Park,Dungannon,54.50749778,-6.78534317,278732,362801,active
700000010039,Tesco,Dungannon,54.5015316,-6.77723093,279269,362146,active
700000010040,Garrison Place,Dungannon,54.44223733,-6.68397133,285434,355655,active
700000010041,Argory Road,Dungannon,54.43982,-6.6779193,285829,355392,active
700000010042,St Peter's Primary School,Dungannon,54.4364942,-6.6720421,286217,355029,active
700000010043,Trinity Lane,Dungannon,54.43481737,-6.66906953,286414,354846,active
700000010044,Aghinlig Road,Dungannon,54.4309529,-6.6622793,286863,354424,active
700000010045,Chamber's Bridge,Dungannon,54.4285257,-6.6571962,287198,354160,active
700000010046,Summerisland,Dungannon,54.4284727,-6.6489418,287733,354165,active
700000010047,Derrys,Dungannon,54.42822643,-6.64454247,288022,354144,active
700000010048,Clonmain Road,Dungannon,54.4255516,-6.6360814,288574,353856,active
700000010049,Causanagh Road,Dungannon,54.4224816,-6.6291577,289030,353523,active
700000010050,63-69 Cloveneden Road,Dungannon,54.4208668,-6.6247979,289317,353348,active
700000010051,Hoggs Corner,Dungannon,54.4169956,-6.6194784,289670,352924,active
700000010052,Eagralougher Road,Dungannon,54.414004,-6.6176547,289795,352594,active
700000010053,Tirmacrannon Road,Dungannon,54.4105234,-6.6166902,289866,352207,active
700000010054,Tirmacrannon Road,Dungannon,54.4101511,-6.6165981,289872,352166,active
700000010055,Hoggs Corner,Dungannon,54.4159552,-6.6177469,289785,352811,active
700000010056,Cloveneden Road,Dungannon,54.41885269,-6.62280678,289453,353128,active
700000010057,63-69 Cloveneden Road,Dungannon,54.4207852,-6.6248692,289312,353339,active
700000010058,Causanagh Road,Dungannon,54.4222679,-6.628835,289052,353499,active
